,time,open,high,low,close,volume,end_time,quote_volume,nbs_trades,buy_base_volume,buy_quote_volume,date
54,1674560100000,22927.20000000,22931.58000000,22905.62000000,22912.43000000,707.46368000,1674560399999,16214219.91628340,17964,325.73117000,7465356.60831170,2023-01-24 11:35:00
55,1674560400000,22913.13000000,22924.88000000,22900.00000000,22901.73000000,556.78103000,1674560699999,12757090.18589200,16316,267.54032000,6129989.78570560,2023-01-24 11:40:00
56,1674560700000,22902.47000000,22908.18000000,22866.23000000,22886.44000000,776.40693000,1674560999999,17772232.53064520,22422,355.69198000,8141933.09822480,2023-01-24 11:45:00
57,1674561000000,22886.90000000,22900.00000000,22875.00000000,22882.15000000,534.09711000,1674561299999,12224292.01717830,17995,266.42065000,6098009.80546600,2023-01-24 11:50:00
58,1674561300000,22882.94000000,22926.75000000,22879.48000000,22917.66000000,746.06405000,1674561599999,17089528.06143690,22069,377.12029000,8638482.82069910,2023-01-24 11:55:00
59,1674561600000,22917.11000000,22925.29000000,22900.54000000,22909.36000000,730.04590000,1674561899999,16730237.14931150,21528,368.02037000,8434006.24288690,2023-01-24 12:00:00
60,1674561900000,22908.60000000,22931.65000000,22906.83000000,22909.36000000,560.34775000,1674562199999,12843520.21142010,17828,260.04928000,5960815.63987590,2023-01-24 12:05:00
61,1674562200000,22908.81000000,22913.13000000,22882.09000000,22890.01000000,899.57064000,1674562499999,20595639.36915230,24364,427.83633000,9795542.42443770,2023-01-24 12:10:00
62,1674562500000,22891.01000000,22910.00000000,22885.62000000,22894.57000000,559.44814000,1674562799999,12810834.94853650,18651,295.31218000,6762474.19117290,2023-01-24 12:15:00
63,1674562800000,22893.62000000,22908.99000000,22890.15000000,22905.17000000,447.59763000,1674563099999,10249844.15750000,15399,249.53612000,5714424.31618730,2023-01-24 12:20:00
64,1674563100000,22905.17000000,22999.72000000,22903.50000000,22996.13000000,1597.62189000,1674563399999,36684804.26224390,36305,926.22307000,21266809.47344900,2023-01-24 12:25:00
65,1674563400000,22994.94000000,23035.31000000,22968.48000000,23010.73000000,1577.85625000,1674563699999,36292834.67769190,35954,819.21887000,18843851.82389710,2023-01-24 12:30:00
66,1674563700000,23010.41000000,23011.04000000,22968.20000000,22970.93000000,925.19743000,1674563999999,21267796.17393210,25423,400.86341000,9214709.28168150,2023-01-24 12:35:00
67,1674564000000,22971.57000000,22991.26000000,22966.31000000,22987.43000000,570.48244000,1674564299999,13108397.29726400,21717,281.77873000,6474761.62377360,2023-01-24 12:40:00
68,1674564300000,22988.01000000,22990.13000000,22962.59000000,22980.54000000,545.94021000,1674564599999,12543666.97808060,19333,261.30657000,6003860.05060710,2023-01-24 12:45:00
69,1674564600000,22979.12000000,22985.64000000,22962.54000000,22965.99000000,452.90655000,1674564899999,10405350.91678620,16331,192.83614000,4430442.95199500,2023-01-24 12:50:00
70,1674564900000,22965.99000000,22981.38000000,22957.60000000,22964.13000000,642.90629000,1674565199999,14767176.53926300,17116,321.29165000,7380045.49377380,2023-01-24 12:55:00
71,1674565200000,22963.20000000,22981.58000000,22958.22000000,22976.00000000,577.93538000,1674565499999,13274588.70265150,18617,309.66894000,7112861.75557240,2023-01-24 13:00:00
72,1674565500000,22976.73000000,23016.80000000,22972.20000000,23008.56000000,672.73234000,1674565799999,15469764.28245750,20535,381.96919000,8783443.89029480,2023-01-24 13:05:00
73,1674565800000,23007.26000000,23013.71000000,22990.94000000,23000.22000000,725.01989000,1674566099999,16677546.53864390,22715,353.05331000,8121383.54369280,2023-01-24 13:10:00
74,1674566100000,23000.97000000,23012.68000000,22974.65000000,22976.62000000,620.10888000,1674566399999,14260082.25788570,20616,274.46054000,6311779.13079130,2023-01-24 13:15:00
75,1674566400000,22976.62000000,23001.99000000,22970.00000000,22999.05000000,543.43577000,1674566699999,12492940.68866570,19182,280.54512000,6449514.64469270,2023-01-24 13:20:00
76,1674566700000,22998.51000000,22999.18000000,22942.36000000,22956.13000000,1174.87391000,1674566999999,26983968.75463100,27269,553.68364000,12716875.80346110,2023-01-24 13:25:00
77,1674567000000,22957.52000000,22975.00000000,22870.95000000,22896.21000000,1611.22893000,1674567299999,36937760.77752180,39851,727.96669000,16689537.39224450,2023-01-24 13:30:00
78,1674567300000,22896.21000000,22909.84000000,22825.00000000,22844.62000000,1687.24134000,1674567599999,38596113.72795600,42768,758.42094000,17349828.99709470,2023-01-24 13:35:00
79,1674567600000,22844.63000000,22878.10000000,22785.01000000,22826.18000000,2647.15259000,1674567899999,60432055.02046390,59142,1256.92329000,28696998.61241150,2023-01-24 13:40:00
80,1674567900000,22827.04000000,22883.00000000,22816.79000000,22864.88000000,1327.45983000,1674568199999,30338654.76866300,37026,655.80476000,14988983.21753720,2023-01-24 13:45:00
81,1674568200000,22863.46000000,22880.21000000,22840.39000000,22860.49000000,1020.15822000,1674568499999,23319424.87119380,29314,479.25004000,10955294.15211740,2023-01-24 13:50:00
82,1674568500000,22859.43000000,22867.11000000,22836.54000000,22859.93000000,919.74870000,1674568799999,21018464.73639420,25541,458.23143000,10472130.28988710,2023-01-24 13:55:00
83,1674568800000,22860.37000000,22875.97000000,22803.74000000,22871.49000000,1589.18565000,1674569099999,36306662.67693240,34501,780.16514000,17824376.14809470,2023-01-24 14:00:00
84,1674569100000,22872.81000000,22936.00000000,22869.86000000,22903.19000000,1747.75712000,1674569399999,40041110.00741200,41606,921.11204000,21103241.24313430,2023-01-24 14:05:00
85,1674569400000,22903.19000000,22946.55000000,22899.48000000,22937.04000000,999.30107000,1674569699999,22905569.84050810,28680,514.85597000,11801581.57070740,2023-01-24 14:10:00
86,1674569700000,22937.04000000,22939.69000000,22850.29000000,22859.64000000,1325.82935000,1674569999999,30350309.05333880,33984,600.05554000,13736258.95346410,2023-01-24 14:15:00
87,1674570000000,22859.64000000,22872.92000000,22808.37000000,22832.49000000,1633.11613000,1674570299999,37297757.67030640,37136,786.82399000,17970303.94496380,2023-01-24 14:20:00
88,1674570300000,22833.28000000,22871.96000000,22800.01000000,22851.77000000,1599.38811000,1674570599999,36535090.33983460,37449,808.79686000,18476190.22732090,2023-01-24 14:25:00
89,1674570600000,22853.65000000,22886.40000000,22711.00000000,22829.01000000,4150.20256000,1674570899999,94660555.92640580,82591,1975.93606000,45073295.80640410,2023-01-24 14:30:00
90,1674570900000,22829.03000000,22835.58000000,22761.02000000,22798.93000000,2089.21714000,1674571199999,47633866.59003300,51113,1001.81993000,22842155.97809180,2023-01-24 14:35:00
91,1674571200000,22800.41000000,22874.27000000,22792.89000000,22843.16000000,1822.84002000,1674571499999,41620805.04971470,45232,933.57692000,21317290.81697110,2023-01-24 14:40:00
92,1674571500000,22843.16000000,22899.99000000,22803.40000000,22862.08000000,2599.29248000,1674571799999,59404961.20048650,52978,1422.22625000,32505302.51004390,2023-01-24 14:45:00
93,1674571800000,22863.20000000,22961.18000000,22846.28000000,22952.01000000,2069.90316000,1674572099999,47425394.06985600,49832,1124.00887000,25756470.50452040,2023-01-24 14:50:00
94,1674572100000,22952.01000000,22960.25000000,22847.52000000,22859.10000000,1971.14448000,1674572399999,45145303.18910360,45425,858.95774000,19673327.80514670,2023-01-24 14:55:00
95,1674572400000,22859.10000000,22880.52000000,22803.69000000,22812.26000000,2047.89017000,1674572699999,46754201.69563900,45643,963.27360000,21993194.68018770,2023-01-24 15:00:00
